,user_id,movie_id,rating,timestamp,movie_title,testing
456,287,1,5,875334088,Toy Story (1995),0
959,148,1,4,877019411,Toy Story (1995),0
1326,66,1,3,883601324,Toy Story (1995),0
1335,5,1,4,875635748,Toy Story (1995),0
1366,109,1,4,880563619,Toy Story (1995),0
1525,95,1,5,879197329,Toy Story (1995),0
1930,268,1,3,875742341,Toy Story (1995),0
2498,189,1,5,893264174,Toy Story (1995),0
3058,158,1,4,880132443,Toy Story (1995),0
3413,232,1,4,880062302,Toy Story (1995),0
3581,289,1,3,876789736,Toy Story (1995),0
4147,117,1,4,880126083,Toy Story (1995),0
4792,223,1,4,891549324,Toy Story (1995),0
6043,17,1,4,885272579,Toy Story (1995),0
6210,340,1,5,884990988,Toy Story (1995),0
7069,194,1,4,879539127,Toy Story (1995),0
7129,250,1,4,883263374,Toy Story (1995),0
7604,213,1,2,878870719,Toy Story (1995),0
7912,350,1,4,882345734,Toy Story (1995),0
7924,348,1,4,886523078,Toy Story (1995),0
7977,131,1,4,883681384,Toy Story (1995),0
8291,106,1,4,881449487,Toy Story (1995),0
8532,234,1,3,891227689,Toy Story (1995),0
9337,43,1,5,875975579,Toy Story (1995),0
9476,20,1,3,879667963,Toy Story (1995),0
9889,246,1,4,884920918,Toy Story (1995),0
10049,94,1,4,885870323,Toy Story (1995),0
10184,279,1,3,875295812,Toy Story (1995),0
10426,38,1,5,892430636,Toy Story (1995),0
10541,128,1,4,879966919,Toy Story (1995),0
10565,96,1,5,884403574,Toy Story (1995),0
10986,203,1,3,880434384,Toy Story (1995),0
11607,311,1,4,884963202,Toy Story (1995),0
12898,125,1,4,879454699,Toy Story (1995),0
13017,286,1,4,876521699,Toy Story (1995),0
13023,83,1,4,880306903,Toy Story (1995),0
13408,301,1,4,882074345,Toy Story (1995),0
13949,345,1,3,884990938,Toy Story (1995),0
14369,18,1,5,880130802,Toy Story (1995),0
14403,322,1,2,887314119,Toy Story (1995),0
14571,64,1,4,879366214,Toy Story (1995),0
15147,45,1,5,881013176,Toy Story (1995),0
15264,247,1,4,893097024,Toy Story (1995),0
15651,204,1,2,892513979,Toy Story (1995),0
16028,271,1,3,886106038,Toy Story (1995),0
16176,41,1,4,890692860,Toy Story (1995),0
16392,274,1,4,878945466,Toy Story (1995),0
16663,222,1,4,877563227,Toy Story (1995),0
16770,15,1,1,879455635,Toy Story (1995),0
17301,141,1,3,884584753,Toy Story (1995),0
17917,359,1,4,886453214,Toy Story (1995),0
18265,374,1,4,880392992,Toy Story (1995),0
18366,380,1,4,885478218,Toy Story (1995),0
18952,160,1,4,876768025,Toy Story (1995),0
19043,396,1,4,884646346,Toy Story (1995),0
19310,339,1,5,891032349,Toy Story (1995),0
20390,81,1,4,876534949,Toy Story (1995),0
20550,42,1,5,881105633,Toy Story (1995),0
20729,357,1,5,878951216,Toy Story (1995),0
20886,327,1,4,887745622,Toy Story (1995),0
21566,44,1,4,878341315,Toy Story (1995),0
22482,97,1,4,884238911,Toy Story (1995),0
23029,101,1,3,877136039,Toy Story (1995),0
23032,490,1,3,875427148,Toy Story (1995),0
23203,242,1,4,879740362,Toy Story (1995),0
23259,312,1,5,891698832,Toy Story (1995),0
23269,325,1,2,891478665,Toy Story (1995),0
23575,456,1,2,881371548,Toy Story (1995),0
23626,347,1,4,881652518,Toy Story (1995),0
24025,360,1,3,880354315,Toy Story (1995),0
25164,450,1,4,887835272,Toy Story (1995),0
25743,84,1,2,883452108,Toy Story (1995),0
25833,198,1,4,884205081,Toy Story (1995),0
26058,494,1,3,879541374,Toy Story (1995),0
26183,525,1,4,881085964,Toy Story (1995),0
26186,2,1,4,888550871,Toy Story (1995),0
26270,62,1,2,879372813,Toy Story (1995),0
26801,343,1,5,876402668,Toy Story (1995),0
26950,298,1,5,884126061,Toy Story (1995),0
27041,459,1,4,879562960,Toy Story (1995),0
27463,407,1,4,876338278,Toy Story (1995),0
27606,471,1,4,889827881,Toy Story (1995),0
27627,535,1,3,879617663,Toy Story (1995),0
27829,500,1,4,883865021,Toy Story (1995),0
28171,275,1,4,875154310,Toy Story (1995),0
28227,252,1,5,891456989,Toy Story (1995),0
28377,230,1,5,880484370,Toy Story (1995),0
28425,249,1,4,879572210,Toy Story (1995),0
28517,93,1,5,888705321,Toy Story (1995),0
29033,514,1,5,875309276,Toy Story (1995),0
29060,193,1,4,890859954,Toy Story (1995),0
29706,484,1,5,881450058,Toy Story (1995),0
30189,54,1,4,880931595,Toy Story (1995),0
30237,75,1,4,884050018,Toy Story (1995),0
30281,338,1,3,879438143,Toy Story (1995),0
30883,13,1,3,882140487,Toy Story (1995),0
30907,472,1,5,892790627,Toy Story (1995),0
31152,541,1,4,883874645,Toy Story (1995),0
31286,209,1,5,883460644,Toy Story (1995),0
31376,144,1,4,888104063,Toy Story (1995),0
31457,454,1,3,881959818,Toy Story (1995),0
31559,313,1,4,891013436,Toy Story (1995),0
31582,202,1,3,879727059,Toy Story (1995),0
32092,447,1,3,878854273,Toy Story (1995),0
32094,137,1,3,881433048,Toy Story (1995),0
32231,508,1,5,883777430,Toy Story (1995),0
32238,1,1,5,874965758,Toy Story (1995),0
32303,569,1,4,879793399,Toy Story (1995),0
32526,416,1,5,893212483,Toy Story (1995),0
32559,291,1,5,874834481,Toy Story (1995),0
32600,401,1,2,891032170,Toy Story (1995),0
33207,567,1,3,882426899,Toy Story (1995),0
33342,561,1,2,885807713,Toy Story (1995),0
33709,390,1,5,879694066,Toy Story (1995),0
